Puesto,Nombre,Trofeos,Donaciones,Rol
#6,['Jair^_^'],['6245'],['10'],['Miembro']
#7,['Feather Light'],['6225'],['10'],['Colíder']
#8,['Jason5'],['6114'],['110'],['Miembro']
#9,['Josue_1.7'],['6112'],['0'],['Miembro']
#10,['⭐Reckor⭐'],['6109'],['118'],['Miembro']
#11,['Ray'],['6102'],['88'],['Miembro']
#12,['❗ByCesar❗'],['5987'],['660'],['Miembro']
#13,['Sir Carlos'],['5978'],['8'],['Veterano']
#14,['Black Mamba'],['5939'],['88'],['Miembro']
#15,['Diamond_Red'],['5910'],['74'],['Miembro']
#16,['☆Dexter☆'],['5855'],['59'],['Miembro']
#17,['MaxLaMenace'],['5807'],['28'],['Colíder']
#18,['りーきでーす。'],['5805'],['0'],['Miembro']
#19,['Romulus'],['5800'],['618'],['Miembro']
#20,['Nova I ⭐™'],['5757'],['96'],['Miembro']
#21,['Charmander'],['5743'],['461'],['Miembro']
#22,['BabyBoy™'],['5712'],['154'],['Miembro']
#23,['Piña™'],['5647'],['190'],['Miembro']
#24,['pujalte44'],['5601'],['30'],['Veterano']
#25,['BrandoR'],['5595'],['18'],['Miembro']
#26,['Redtsunami'],['5566'],['303'],['Miembro']
#27,['Pikashu'],['5548'],['0'],['Miembro']
#28,['EmaBasket24™'],['5543'],['0'],['Miembro']
#29,['PaloPalo™'],['5542'],['166'],['Miembro']
#30,['_Âłêxãňđêř_☆♢♤'],['5538'],['644'],['Miembro']
#31,['¥~×FENIXX×~¥'],['5522'],['0'],['Miembro']
#32,['Death'],['5501'],['0'],['Veterano']
#33,['Cavernicola'],['5499'],['80'],['Miembro']
#34,['GBG'],['5467'],['557'],['Líder']
#35,['Ron'],['5436'],['92'],['Colíder']
#36,['ENFORCER'],['5424'],['30'],['Miembro']
#37,['Nova | Storm'],['5411'],['381'],['Miembro']
#38,['GBG™'],['5407'],['182'],['Veterano']
#39,['─═∀Γ₡ ╦॥₡ ₲¤ם═─'],['5336'],['335'],['Miembro']
#40,['OnE'],['5225'],['582'],['Veterano']
#41,['Kno TheKing'],['4932'],['0'],['Miembro']
#42,['Nova i Anaban'],['4884'],['0'],['Veterano']
#1,['Soul⚡️'],['6411'],['0'],['Veterano']
#2,['DRKSHDW⭐️MASSYK'],['6405'],['86'],['Veterano']
#3,['༺KARMA༻'],['6232'],['368'],['Veterano']
#4,['DR Phael'],['6127'],['98'],['Veterano']
#5,['massyk74'],['6124'],['524'],['Líder']
#6,['Ryder 噶饿'],['6105'],['20'],['Colíder']
#7,['yacktonyt'],['6105'],['78'],['Colíder']
#8,['Eros Tornatora'],['6030'],['50'],['Colíder']
#9,['MAKER'],['5951'],['0'],['Veterano']
#10,['Leo07™'],['5941'],['459'],['Veterano']
#11,['TheUnBaD-'],['5937'],['406'],['Veterano']
#12,['Inferno97™'],['5915'],['242'],['Veterano']
#13,['PATRICK AGO'],['5911'],['574'],['Veterano']
#14,['cicciobbenzina®'],['5865'],['334'],['Veterano']
#15,['✴Erik™'],['5822'],['0'],['Miembro']
#16,['@hannes'],['5813'],['10'],['Veterano']
#17,['lanfra'],['5755'],['10'],['Veterano']
#18,['Cristian'],['5742'],['40'],['Veterano']
#19,['BARBAFOLTA'],['5702'],['98'],['Veterano']
#20,['trangugiatore'],['5682'],['50'],['Veterano']
#21,['Defectum'],['5607'],['178'],['Colíder']
#22,['Claudio⚡️'],['5575'],['152'],['Veterano']
#23,['Killer'],['5568'],['154'],['Miembro']
#24,['First Star ⭐'],['5546'],['40'],['Veterano']
#25,['Gambation'],['5541'],['26'],['Veterano']
#26,['fabiax '],['5533'],['592'],['Veterano']
#27,['GiandoMattoA™️'],['5533'],['54'],['Veterano']
#28,['xSmokaRei'],['5528'],['230'],['Veterano']
#29,['BrightLight ☀️™'],['5528'],['0'],['Miembro']
#30,['Aiace4'],['5526'],['230'],['Veterano']
#31,['mattiaofficial'],['5523'],['64'],['Veterano']
#32,['EHRMANTRAUT'],['5501'],['115'],['Miembro']
#33,['Digryno'],['5477'],['0'],['Veterano']
#34,['Teo2212'],['5440'],['0'],['Colíder']
#35,['⚡Matteo⚡'],['5438'],['10'],['Veterano']
#36,['DaNyNuGhY_97™'],['5430'],['60'],['Colíder']
#37,['Tartaruga'],['5429'],['576'],['Veterano']
#38,['Aragorn'],['5422'],['260'],['Miembro']
